date,eco_net_debt_R$,eco_net_debt_R$_federal_govt,eco_GDP_R$_12_months,Coffee,Iron Ore,Meat index,Soybeans,Sugar,bud_group_personal_spent_value,bud_type_mandatory_spent_value,exp_DIC_y,exp_trade_balance_y,CNY,EUR,USD,eco_total_revenue
2014-11,0.00215390847992486,-0.0009225847452465352,-0.0019580252884265903,-0.06464367512402847,-0.033865759667024986,-0.08936910074672255,0.05363730558057189,-0.028569904472615648,0.004370316019020937,0.0,0.0,-0.024009603841536616,0.025849674202331085,0.027497746086386332,0.027493772980666575,-0.007466266528161181
2014-12,0.004261751538391867,0.0015589215201044504,-0.0009153188435871984,-0.06496978895232675,-0.028311539642632,-0.06796890719608695,-0.0012130927225429966,-0.03350862750450567,0.004370316019021159,-5.551115123125783e-17,0.0,-0.024009603841536616,0.017284101685582254,0.0072944840586837145,0.022796821254892685,0.043969937502595036
2015-01,0.003193114210615855,0.0013088130301124046,-0.001073207409833632,-0.015276407693130767,0.001940912409994111,-0.06679639204900578,-0.02431495979748266,0.0039159322134186825,0.004287014724252414,-0.00048623744385578593,-0.010430247718383301,0.08403361344537816,-0.0032120896937807286,-0.04452503893123505,0.0014470406831930127,0.045114082999954286
2015-02,-0.001205245307933478,-0.0035617169309137275,-0.0007297040097733465,-0.04362980163534791,-0.02593428677354781,-0.10741642758622083,-0.005929055761505819,-0.02288858263415927,0.004287014724252636,-0.00048623744385578593,0.010430247718383301,0.0,0.050628651840068484,0.04464797967379719,0.05121575139366619,-0.1511181008131125
2015-03,-0.0013043559694213003,-0.009500254009225328,0.0017334300971098004,-0.07375712407532875,-0.027657272176106834,-0.011132613621926524,-0.01107828648607978,-0.06487586010810253,0.004287014724252636,5.551115123125783e-17,-0.052151238591916615,-0.012004801920768304,0.0893266848175226,0.04468895992131794,0.07823508480607289,0.017682506936404496
2015-04,0.009052658953770942,0.009754538729443096,0.0013757115494130723,0.013253332791579253,-0.029872539122250352,0.012190856429938224,-0.005750306978197894,0.0026616742684560935,0.004287014724252414,0.0,0.019556714471968717,0.00024009603841534943,-0.05322891492550996,-0.021289238587001047,-0.050859921717471335,0.06476641563470381
2015-05,0.00206482299935401,-0.0013911869809852262,-0.00049770617420275,-0.022407873480170926,0.04093289068597278,0.04619449847212542,-0.010717462228534202,-0.007042811512021463,0.004287014724252414,-5.551115123125783e-17,0.11082138200782266,-0.01224489795918366,0.046192908929609366,0.031206458487009203,0.04393310402087536,-0.07594789279749736
2015-06,0.008536376810914431,0.010725501548652261,-0.0005673324435804261,0.005168936986776895,0.006952677644826044,-0.010856861708865573,0.0061889027785456685,-0.02256220986197288,0.004287014724252636,0.0,0.006518904823989646,0.016806722689075633,-0.019119581510600003,-0.006925661830997409,-0.018076147550705746,0.02393245181069298
2015-07,0.0016785729947207395,-0.0066632269196708616,0.00031956645808262074,-0.021569267533158243,-0.04758883736084962,0.01357150395216733,0.037743134207433915,-0.00928002419099394,0.004287014724252414,0.0,-0.006518904823989646,0.02400960384153661,0.07066597326317725,0.05790508974674213,0.06912584509548103,0.03329409756131302
2015-08,-0.0015579687044374735,-0.007317027930018372,0.0016303832184311196,0.010063714925308775,0.025398873843072822,0.00855360969703911,-0.05454398270874816,-0.04676171750905961,0.004287014724252414,0.0,-0.01303780964797907,0.019207683073229287,0.038698032977454166,0.06958446029013998,0.05994543944965014,-0.04764562805670397
2015-09,-0.0008050891844288977,-0.008274001838191575,-0.0024688802153596257,-0.04378684944262834,-0.001752820647622888,-0.05326208526175891,-0.05054429048530862,0.05603319034844961,0.004287014724252636,0.0,-0.013037809647979182,0.048019207683073245,0.08137293890911312,0.07220719613146481,0.07738109358320489,0.006425764116018973
2015-10,0.011266271382662452,0.011548779627746947,-0.0015040723654341503,0.028863306140853306,-0.016334796673589946,-0.03564318062206895,0.008324841201680977,0.07875703930457212,0.004287014724252414,0.0,0.008474576271186529,0.02400960384153661,-0.021872801248126184,-0.03460781903122695,-0.027043055390819637,0.035492282070718806
2015-11,0.011395885733081257,0.008562880152186286,0.0019099132774531569,-0.021420575118445973,-0.031843796385534084,-0.0877291536554432,-0.01795699079947699,0.02840887576343165,0.004287014724252414,0.0,-0.03455019556714478,0.012004801920768304,-0.013766098687632011,-0.039443488238668944,-0.001968924208278988,-0.03454247154042406
2015-12,0.01922131890648271,0.016667792366765855,0.001520327122746079,0.0025744367454593187,-0.03105246747098303,-0.0424797776359771,0.009116985813556577,-0.0029638750589616736,0.004287014724252636,0.0,0.017861799217731344,0.0,-0.00045886995625421534,0.03624702893205467,0.012857312299845769,0.11147916530186014
2016-01,0.002515569427936848,-0.004075099257651482,-0.00025475449580714127,-0.012910375874548685,0.006508716226398953,-0.014879685674972998,-0.00023902139090237196,-0.017686525388093788,0.0054857440326649964,0.0003877860559690083,-0.10912646675358528,0.27490996398559425,0.02034323472727828,0.027046963363658583,0.03273633020993949,0.03374602350267708
2016-02,0.012706902137835208,0.020927052669091173,0.00019577146879690144,0.009192446050600211,0.021074338461204378,0.06702472240718182,-0.0066225491119032975,-0.038349670561043214,0.0054857440326649964,0.00038778605596889726,0.0,0.023409363745498235,-0.011471748906360046,-0.012089173018604793,-0.01499229035701577,-0.17780484917749284
