Date,WD_CHN_GDP,WD_UK_GDP,WD_US_GDP
2010-06,99.9482584529498,99.1187010908094,99.2946957849399
2010-07,99.9626651688015,99.2683935472126,99.4394368453387
2010-08,100.012355426916,99.369276039339,99.5520207839955
2010-09,100.103173044743,99.4259500383048,99.6245972661365
2010-10,100.23825582186,99.4497601190568,99.6533387825399
2010-11,100.414558639854,99.4530525240735,99.6383046570533
2010-12,100.621714452562,99.4455236121685,99.5862073785107
2011-01,100.846879697145,99.4317918127998,99.5160588252441
2011-02,101.068704408226,99.4134885224843,99.4491345373922
2011-03,101.27322069977,99.391524569354,99.4000853153299
2011-04,101.450332623964,99.3684087421664,99.3676725161708
2011-05,101.591523279819,99.3472352983197,99.3457486799345
2011-06,101.692889237071,99.3304831751409,99.3327708218012
2011-07,101.751066779529,99.3184042408035,99.3403182501415
2011-08,101.767305044979,99.3113370698661,99.3842631549833
2011-09,101.745253312441,99.3114029152722,99.4742938406062
2011-10,101.68990466624,99.3235624871248,99.6005813265115
2011-11,101.608681441255,99.3519806553275,99.7440632643842
2011-12,101.509606590366,99.3952472238757,99.8838645837669
2012-01,101.399549126554,99.4401402183779,100.003288552817
2012-02,101.286674910689,99.4714238203015,100.089385160737
2012-03,101.176746326317,99.4812405883368,100.133767440633
2012-04,101.071230389449,99.4791749797123,100.135590036498
2012-05,100.97482185696,99.4797392873993,100.098053965049
2012-06,100.8895925035,99.490447479992,100.027745933685
2012-07,100.817333320061,99.4994484460191,99.9365962639978
2012-08,100.760979404726,99.4881960284635,99.8388137484306
2012-09,100.722479551571,99.4439440951534,99.7491735644206
2012-10,100.700859922694,99.373373895164,99.6816519068731
2012-11,100.694224601299,99.2930125920357,99.6466778471887
2012-12,100.699742156044,99.2213122850803,99.6466616355842
2013-01,100.714991649715,99.1712591442648,99.6690167775802
2013-02,100.739838799491,99.1515475004656,99.6972161536349
2013-03,100.774079585732,99.1659757657146,99.7200236303951
2013-04,100.817540641201,99.2104306815849,99.7401191163687
2013-05,100.869291517361,99.2776812341943,99.7660127332546
2013-06,100.928007139291,99.3597701080717,99.8040049427983
2013-07,100.991455863978,99.4485449738157,99.8495839722793
2013-08,101.054251131216,99.537587573697,99.8917420962761
2013-09,101.109732521118,99.6234535607403,99.9165800505815
2013-10,101.154751878413,99.7066875307516,99.9110093115204
2013-11,101.186664968377,99.7899275625727,99.8682066419556
2013-12,101.205113686717,99.8760069452883,99.7950666465362
2014-01,101.212357885525,99.9658734967943,99.7220894353458
2014-02,101.210689485127,100.059122935146,99.6864103690461
2014-03,101.200701176033,100.154093857288,99.7148701669968
2014-04,101.180231525348,100.247561722791,99.804378565892
2014-05,101.148504365302,100.335600312505,99.936463979289
2014-06,101.105405264138,100.414412208934,100.087146900769
2014-07,101.051165974009,100.481419894186,100.233612987979
2014-08,100.985871403231,100.534118456684,100.358032972484
2014-09,100.912285570756,100.569669647741,100.451592928491
2014-10,100.8297139061,100.585429412784,100.519976423497
2014-11,100.739329538997,100.579635199543,100.574211813233
2014-12,100.64285103449,100.553438706483,100.623210556874
2015-01,100.540254837259,100.514410900968,100.667248865815
2015-02,100.433335307046,100.471704009423,100.701318212925
2015-03,100.325197868932,100.432127118452,100.718755274923
2015-04,100.219452972428,100.396491596216,100.715512606331
2015-05,100.117468861507,100.36278686398,100.688977278637
2015-06,100.019148641803,100.329049124322,100.638221435066
2015-07,99.9235625423581,100.29607615118,100.565872171088
2015-08,99.83246584137,100.265561707866,100.476489887618
2015-09,99.7464432955367,100.238197136959,100.376473907661
2015-10,99.6653921036188,100.211624026962,100.275170355944
2015-11,99.5892610566108,100.182649887684,100.181595015377
2015-12,99.5170252657658,100.149424986691,100.101273571468
2016-01,99.4482222593539,100.113814665908,100.032547262993
2016-02,99.3831640867288,100.079008394061,99.9713847141776
2016-03,99.322553649146,100.047358929351,99.9153127480461
2016-04,99.266211863436,100.018228216006,99.8667669666123
2016-05,99.2150703500721,99.9904370659106,99.8299618814056
2016-06,99.170244848746,99.9645846762879,99.8072277435473
2016-07,99.1324831273362,99.9453290684646,99.7945058857062
2016-08,99.1022527029052,99.9391735863728,99.7851074256147
2016-09,99.0798784977678,99.9518714090481,99.7727107996421
2016-10,99.0662939445601,99.9849815360384,99.7540864390345
2016-11,99.062103811968,100.037518417358,99.7284267205539
2016-12,99.0670943585166,100.106207640327,99.6971048146745
2017-01,99.0803210204316,100.184424132716,99.6639211181487
2017-02,99.0993398556513,100.265063453637,99.6342091355124
2017-03,99.1206012699875,100.342817023671,99.6140719143094
2017-04,99.1396070061082,100.416368111763,99.6093698474196
2017-05,99.1537470074467,100.48628682706,99.6258161407024
2017-06,99.1608573942895,100.553330797091,99.6679597865436
2017-07,99.1585503195772,100.617118051613,99.7366422560685
2017-08,99.147211868228,100.675026681286,99.8301119063513
2017-09,99.1279524375909,100.721453678112,99.9432006986432
2017-10,99.1016716100647,100.74763014021,100.06468607831
2017-11,99.0693632530657,100.744588849137,100.181445873474
2017-12,99.0319242125829,100.707725495347,100.281991846258
2018-01,98.9891648931991,100.643572895413,100.360329237953
2018-02,98.9398724360391,100.563207354633,100.413741868372
2018-03,98.8826384405147,100.477792940009,100.44215435224
2018-04,98.8167495239023,100.395494387495,100.449274108173
2018-05,98.7402990189023,100.321592804384,100.438900435402
2018-06,98.6523996622418,100.258562970829,100.412791050164
2018-07,98.5536529026078,100.205728764613,100.369824940551
2018-08,98.4450358145301,100.162303482721,100.308631772338
2018-09,98.3277723742821,100.12986227964,100.23145604713
2018-10,98.2038837514999,100.114309929633,100.149340867921
2018-11,98.0761160931699,100.122358630528,100.077025769585
2018-12,97.9482151919048,100.156982474955,100.028301470264
2019-01,97.8232384736031,100.211345211671,100.01076725021
2019-02,97.7041152296703,100.27535099086,100.028576140116
2019-03,97.5935637351669,100.340927561792,100.082970465805
2019-04,97.4941754839099,100.406784129349,100.170309004548
2019-05,97.4134128397745,100.473614318226,100.284413348793
2019-06,97.3602260305617,100.539436332351,100.416562407822
2019-07,97.3449254638384,100.595020305034,100.553580730928
2019-08,97.3810351540263,100.629327163344,100.682076454439
2019-09,97.482225629089,100.635850810484,100.792362664821
2019-10,97.6597594916767,100.62063250722,100.883017622244
2019-11,97.9238955802523,100.59445030361,100.95523856416
2019-12,98.2781974007988,100.566732452941,101.008618790066
2020-01,98.7189608364791,100.54044381831,101.038283167136
2020-02,73.3300174818749,100.514175325975,101.035460293051
2020-03,99.7890066152823,91.5195029858474,94.7921430614393
2020-04,100.37267418839,82.1798246919353,92.0558765516322
2020-05,100.950490104793,77.5135283764056,90.6504397045416
2020-06,101.495843061237,81.7888690608168,92.8549193790727
2020-07,101.98692302876,86.0639667154678,95.0371322110707
2020-08,102.409044476007,90.332411204068,97.1926078001819
2020-09,102.752982849871,90.6854609517704,97.3608856617372
2020-10,103.015026184139,91.0407239222104,97.530853722539
2020-11,103.198455251726,91.3941128262912,97.7154963784784
2020-12,103.310095185872,91.011911897104,98.0401853241488
2021-01,103.357072668816,90.6290678376924,98.391635638799
2021-02,103.34552525016,90.244873827842,98.7290290849894
2021-03,103.280444445174,92.400238626644,98.9636332801006
2021-04,103.166269675077,94.549528229589,99.1626671378031
2021-05,103.008004873336,96.7082582752166,99.3391017550868
2021-06,102.811889746272,97.1970478061879,99.5446126088451
2021-07,102.585702252374,97.7015695843155,99.7646938191548
2021-08,102.340090991934,98.2157775249883,99.9868333155551
2021-09,102.086373008128,98.6927426576359,100.191923346094
2021-10,101.836028080209,99.1806927564516,100.345435872848
2021-11,101.596689350918,99.6757086262749,100.411120928332
2021-12,101.373495276502,99.7193429541131,100.368461970851
2022-01,101.169871872273,99.7708621979551,100.236187737218
2022-02,100.988407049809,99.8158198446489,100.051043354782
2022-03,100.828840005753,99.8422451771856,99.8528781625081
2022-04,100.688120697831,99.8465596634984,99.6737225500659
2022-05,100.562074070548,99.8303449353264,99.5365981273211
2022-06,100.441711411938,99.7987204057756,99.4530547238046
2022-07,100.316075156432,99.7602217320806,99.4176949659969
2022-08,100.179211322583,99.7238781410522,99.4177948958602
2022-09,100.029097848248,99.6968251417622,99.4393410070162
2022-10,99.8651737501688,99.6818005291618,99.4704721142815
2022-11,99.6941840316308,99.6783421625714,99.5029069927395
2022-12,99.5272512134359,99.6831367212376,99.5326553660087
2023-01,99.3710297977345,99.6895514694677,99.560597014299
2023-02,99.2277134367105,99.6901516281733,99.5914251168156
2023-03,99.0987749942661,99.6791142768625,99.6326804080314
2023-04,98.9852070383012,99.6550684237746,99.6935440098573
2023-05,98.8908565643775,99.6196500073164,99.7818448933705
2023-06,98.8137710312216,99.5769938958343,99.8996172445909
2023-07,98.7509223874687,99.5340455488814,100.036613254156
2023-08,98.7025181947239,99.4974295651425,100.177974135703
2023-09,98.6670978306513,,100.310462238099
2023-10,98.6432996148079,,100.42834050419
2023-11,98.6284401568179,,100.530966940633
2023-12,98.6172137956314,,
