Date,CNY,EUR,USD
24-10-2000,0.229704,1.5914,1.8981
25-10-2000,0.233347,1.60043,1.9282
26-10-2000,0.234049,1.60738,1.934
27-10-2000,0.232839,1.6212,1.924
30-10-2000,0.232161,1.6184,1.9184
31-10-2000,0.231087,1.62327,1.909
01-11-2000,0.231196,1.64735,1.9099
03-11-2000,0.23346,1.67177,1.9286
06-11-2000,0.23559,1.67905,1.9462
07-11-2000,0.236934,1.68941,1.9573
08-11-2000,0.236087,1.67263,1.9503
09-11-2000,0.238266,1.70737,1.9683
10-11-2000,0.236849,1.689,1.9566
13-11-2000,0.237007,1.68797,1.9579
14-11-2000,0.235336,1.66965,1.9441
16-11-2000,0.235881,1.66338,1.9486
17-11-2000,0.23737,1.66564,1.9609
20-11-2000,0.234416,1.6484,1.9365
21-11-2000,0.231208,1.61418,1.91
22-11-2000,0.233896,1.63217,1.9322
23-11-2000,0.234997,1.62995,1.9413
24-11-2000,0.236777,1.64406,1.956
27-11-2000,0.23691,1.66926,1.9571
28-11-2000,0.239416,1.69741,1.9778
29-11-2000,0.237382,1.68652,1.961
30-11-2000,0.237207,1.71296,1.9596
01-12-2000,0.239616,1.74164,1.9795
04-12-2000,0.240245,1.76588,1.9847
05-12-2000,0.237836,1.73362,1.9648
06-12-2000,0.237945,1.75605,1.9657
07-12-2000,0.238442,1.75439,1.9698
08-12-2000,0.238405,1.74486,1.9695
11-12-2000,0.237836,1.72261,1.9648
12-12-2000,0.238175,1.73432,1.9676
13-12-2000,0.237534,1.7218,1.9623
14-12-2000,0.237679,1.74898,1.9635
15-12-2000,0.2382,1.7658,1.9678
18-12-2000,0.236517,1.75098,1.9539
19-12-2000,0.236723,1.74996,1.9556
20-12-2000,0.236759,1.78017,1.9559
21-12-2000,0.236989,1.79385,1.9578
22-12-2000,0.236335,1.80805,1.9524
26-12-2000,0.236989,1.82264,1.9578
27-12-2000,0.237352,1.82858,1.9608
28-12-2000,0.236699,1.81845,1.9554
29-12-2000,0.236707,1.84173,1.9554
02-01-2001,0.234649,1.84298,1.9384
03-01-2001,0.235109,1.80734,1.9422
04-01-2001,0.234322,1.84003,1.9357
05-01-2001,0.23586,1.86965,1.9484
08-01-2001,0.236344,1.85864,1.9524
09-01-2001,0.235339,1.83907,1.9441
10-01-2001,0.235194,1.82821,1.9429
11-01-2001,0.235605,1.85556,1.9463
12-01-2001,0.23615,1.86121,1.9508
15-01-2001,0.235751,1.83994,1.9475
16-01-2001,0.236247,1.84069,1.9516
17-01-2001,0.236065,1.82504,1.9501
18-01-2001,0.23638,1.84837,1.9527
19-01-2001,0.236695,1.83205,1.9553
22-01-2001,0.236913,1.84099,1.9571
23-01-2001,0.237094,1.84181,1.9586
24-01-2001,0.237203,1.81482,1.9595
25-01-2001,0.238934,1.82767,1.9738
26-01-2001,0.238959,1.82864,1.974
29-01-2001,0.239116,1.81838,1.9753
30-01-2001,0.238644,1.83136,1.9714
31-01-2001,0.238588,1.8437,1.9711
01-02-2001,0.238926,1.86133,1.9739
02-02-2001,0.241287,1.86755,1.9934
05-02-2001,0.24142,1.87557,1.9945
06-02-2001,0.241844,1.86127,1.998
07-02-2001,0.24263,1.86913,2.0045
08-02-2001,0.241589,1.83535,1.9959
09-02-2001,0.240682,1.84437,1.9884
12-02-2001,0.239822,1.84849,1.9813
13-02-2001,0.239701,1.82457,1.9803
14-02-2001,0.240803,1.82977,1.9894
15-02-2001,0.23981,1.79448,1.9812
16-02-2001,0.241359,1.82742,1.994
19-02-2001,0.242412,1.84962,2.0027
20-02-2001,0.242848,1.83247,2.0063
21-02-2001,0.244991,1.84337,2.024
22-02-2001,0.24654,1.8481,2.0368
23-02-2001,0.247363,1.8788,2.0436
28-02-2001,0.247551,1.89153,2.0452
01-03-2001,0.24726,1.90259,2.0428
02-03-2001,0.246377,1.90638,2.0355
05-03-2001,0.244888,1.88434,2.0232
06-03-2001,0.244597,1.8912,2.0208
07-03-2001,0.246812,1.89956,2.0391
08-03-2001,0.24674,1.90267,2.0385
09-03-2001,0.24933,1.92388,2.0599
12-03-2001,0.248761,1.91414,2.0552
13-03-2001,0.249608,1.8893,2.0622
14-03-2001,0.251315,1.8964,2.0763
15-03-2001,0.252538,1.87849,2.0864
16-03-2001,0.25681,1.9073,2.1217
19-03-2001,0.257537,1.9161,2.1277
20-03-2001,0.253324,1.90465,2.0929
21-03-2001,0.254184,1.88527,2.1
22-03-2001,0.259255,1.90339,2.1419
23-03-2001,0.261277,1.92514,2.1586
26-03-2001,0.258699,1.91961,2.1373
27-03-2001,0.25704,1.90115,2.1236
28-03-2001,0.256241,1.87808,2.117
29-03-2001,0.25865,1.89167,2.1369
30-03-2001,0.261659,1.90165,2.1616
02-04-2001,0.261271,1.90272,2.1584
03-04-2001,0.263063,1.95468,2.1732
04-04-2001,0.261853,1.95283,2.1632
05-04-2001,0.261332,1.93642,2.1589
06-04-2001,0.260509,1.95013,2.1521
09-04-2001,0.261974,1.94551,2.1642
10-04-2001,0.259311,1.90773,2.1422
11-04-2001,0.258851,1.9022,2.1384
12-04-2001,0.261138,1.92808,2.1573
16-04-2001,0.264189,1.94121,2.1825
17-04-2001,0.264951,1.93696,2.1888
18-04-2001,0.263281,1.92301,2.175
19-04-2001,0.264879,1.96883,2.1882
20-04-2001,0.270713,2.02115,2.2364
23-04-2001,0.273401,2.0324,2.2586
24-04-2001,0.27282,2.01974,2.2538
25-04-2001,0.278545,2.06512,2.3011
26-04-2001,0.272856,2.04053,2.2541
27-04-2001,0.268486,1.98144,2.218
30-04-2001,0.264464,1.94164,2.1847
02-05-2001,0.26921,1.99228,2.2239
03-05-2001,0.27059,1.9931,2.2353
04-05-2001,0.26858,1.98651,2.2187
07-05-2001,0.265796,1.95867,2.1957
08-05-2001,0.270178,1.97912,2.2319
09-05-2001,0.27341,2.00302,2.2586
10-05-2001,0.27473,2.00383,2.2695
11-05-2001,0.276763,2.00632,2.2863
14-05-2001,0.279172,2.02032,2.3062
15-05-2001,0.28307,2.05905,2.3384
16-05-2001,0.281073,2.05451,2.3219
17-05-2001,0.278858,2.03763,2.3036
18-05-2001,0.277708,2.02372,2.2941
21-05-2001,0.281787,2.04553,2.3278
22-05-2001,0.279172,1.99909,2.3062
23-05-2001,0.283591,2.01081,2.3427
24-05-2001,0.284402,2.01562,2.3494
25-05-2001,0.2833,2.01788,2.3403
28-05-2001,0.28163,2.00365,2.3265
29-05-2001,0.283567,2.00806,2.3425
30-05-2001,0.285637,2.02579,2.3596
31-05-2001,0.285699,2.00134,2.36
01-06-2001,0.288519,2.02539,2.3833
04-06-2001,0.28605,2.00332,2.3629
05-06-2001,0.28927,2.04548,2.3895
06-06-2001,0.288374,2.0258,2.3821
07-06-2001,0.289088,2.03368,2.388
08-06-2001,0.285929,2.01264,2.3619
11-06-2001,0.287176,2.00504,2.3722
12-06-2001,0.289403,2.04116,2.3906
13-06-2001,0.291485,2.06114,2.4078
15-06-2001,0.291497,2.07906,2.4079
18-06-2001,0.297635,2.12111,2.4586
19-06-2001,0.298713,2.11151,2.4675
20-06-2001,0.299596,2.11776,2.4748
21-06-2001,0.291195,2.06222,2.4054
22-06-2001,0.282019,1.99956,2.3296
25-06-2001,0.278399,1.97965,2.2997
26-06-2001,0.280118,2.00183,2.3139
27-06-2001,0.281292,2.00232,2.3236
28-06-2001,0.277503,1.9398,2.2923
29-06-2001,0.279039,1.9636,2.3049
02-07-2001,0.28146,1.9732,2.3249
03-07-2001,0.283227,1.98863,2.3395
04-07-2001,0.289426,2.02737,2.3907
05-07-2001,0.29192,2.0212,2.4113
06-07-2001,0.301968,2.11922,2.4943
09-07-2001,0.297186,2.08689,2.4548
10-07-2001,0.300261,2.12585,2.4802
11-07-2001,0.30629,2.17689,2.53
